"","gutenberg_id","text","title"
"1",158,"Emma","Emma"
"2",158,"","Emma"
"3",158,"by Jane Austen","Emma"
"4",158,"","Emma"
"5",158,"","Emma"
"6",158,"Contents","Emma"
"7",158,"","Emma"
"8",158," VOLUME I.","Emma"
"9",158," CHAPTER I.","Emma"
"10",158," CHAPTER II.","Emma"
"11",158," CHAPTER III.","Emma"
"12",158," CHAPTER IV.","Emma"
"13",158," CHAPTER V.","Emma"
"14",158," CHAPTER VI.","Emma"
"15",158," CHAPTER VII.","Emma"
"16",158," CHAPTER VIII.","Emma"
"17",158," CHAPTER IX.","Emma"
"18",158," CHAPTER X.","Emma"
"19",158," CHAPTER XI.","Emma"
"20",158," CHAPTER XII.","Emma"
"21",158," CHAPTER XIII.","Emma"
"22",158," CHAPTER XIV.","Emma"
"23",158," CHAPTER XV.","Emma"
"24",158," CHAPTER XVI.","Emma"
"25",158," CHAPTER XVII.","Emma"
"26",158," CHAPTER XVIII.","Emma"
"27",158,"","Emma"
"28",158," VOLUME II.","Emma"
"29",158," CHAPTER I.","Emma"
"30",158," CHAPTER II.","Emma"
"31",158," CHAPTER III.","Emma"
"32",158," CHAPTER IV.","Emma"
"33",158," CHAPTER V.","Emma"
"34",158," CHAPTER VI.","Emma"
"35",158," CHAPTER VII.","Emma"
"36",158," CHAPTER VIII.","Emma"
"37",158," CHAPTER IX.","Emma"
"38",158," CHAPTER X.","Emma"
"39",158," CHAPTER XI.","Emma"
"40",158," CHAPTER XII.","Emma"
"41",158," CHAPTER XIII.","Emma"
"42",158," CHAPTER XIV.","Emma"
"43",158," CHAPTER XV.","Emma"
"44",158," CHAPTER XVI.","Emma"
"45",158," CHAPTER XVII.","Emma"
"46",158," CHAPTER XVIII.","Emma"
"47",158,"","Emma"
"48",158," VOLUME III.","Emma"
"49",158," CHAPTER I.","Emma"
"50",158," CHAPTER II.","Emma"
"51",158," CHAPTER III.","Emma"
"52",158," CHAPTER IV.","Emma"
"53",158," CHAPTER V.","Emma"
"54",158," CHAPTER VI.","Emma"
"55",158," CHAPTER VII.","Emma"
"56",158," CHAPTER VIII.","Emma"
"57",158," CHAPTER IX.","Emma"
"58",158," CHAPTER X.","Emma"
"59",158," CHAPTER XI.","Emma"
"60",158," CHAPTER XII.","Emma"
"61",158," CHAPTER XIII.","Emma"
"62",158," CHAPTER XIV.","Emma"
"63",158," CHAPTER XV.","Emma"
"64",158," CHAPTER XVI.","Emma"
"65",158," CHAPTER XVII.","Emma"
"66",158," CHAPTER XVIII.","Emma"
"67",158," CHAPTER XIX.","Emma"
"68",158,"","Emma"
"69",158,"","Emma"
"70",158,"","Emma"
"71",158,"","Emma"
"72",158,"VOLUME I","Emma"
"73",158,"","Emma"
"74",158,"","Emma"
"75",158,"","Emma"
"76",158,"","Emma"
"77",158,"CHAPTER I","Emma"
"78",158,"","Emma"
"79",158,"","Emma"
"80",158,"Emma Woodhouse, handsome, clever, and rich, with a comfortable home and","Emma"
"81",158,"happy disposition, seemed to unite some of the best blessings of","Emma"
"82",158,"existence; and had lived nearly twenty-one years in the world with very","Emma"
"83",158,"little to distress or vex her.","Emma"
"84",158,"","Emma"
"85",158,"She was the youngest of the two daughters of a most affectionate,","Emma"
"86",158,"indulgent father; and had, in consequence of her sister’s marriage,","Emma"
"87",158,"been mistress of his house from a very early period. Her mother had","Emma"
"88",158,"died too long ago for her to have more than an indistinct remembrance","Emma"
"89",158,"of her caresses; and her place had been supplied by an excellent woman","Emma"
"90",158,"as governess, who had fallen little short of a mother in affection.","Emma"
"91",158,"","Emma"
"92",158,"Sixteen years had Miss Taylor been in Mr. Woodhouse’s family, less as a","Emma"
"93",158,"governess than a friend, very fond of both daughters, but particularly","Emma"
"94",158,"of Emma. Between _them_ it was more the intimacy of sisters. Even","Emma"
"95",158,"before Miss Taylor had ceased to hold the nominal office of governess,","Emma"
"96",158,"the mildness of her temper had hardly allowed her to impose any","Emma"
"97",158,"restraint; and the shadow of authority being now long passed away, they","Emma"
"98",158,"had been living together as friend and friend very mutually attached,","Emma"
"99",158,"and Emma doing just what she liked; highly esteeming Miss Taylor’s","Emma"
"100",158,"judgment, but directed chiefly by her own.","Emma"
"101",158,"","Emma"
"102",158,"The real evils, indeed, of Emma’s situation were the power of having","Emma"
"103",158,"rather too much her own way, and a disposition to think a little too","Emma"
"104",158,"well of herself; these were the disadvantages which threatened alloy to","Emma"
"105",158,"her many enjoyments. The danger, however, was at present so","Emma"
"106",158,"unperceived, that they did not by any means rank as misfortunes with","Emma"
"107",158,"her.","Emma"
"108",158,"","Emma"
"109",158,"Sorrow came—a gentle sorrow—but not at all in the shape of any","Emma"
"110",158,"disagreeable consciousness.—Miss Taylor married. It was Miss Taylor’s","Emma"
